,Index
2020-01-02,PNJ-HPG-CTG
2020-01-03,PNJ-HPG-CTG
2020-01-06,PNJ-CTG-HPG
2020-01-07,PNJ-CTG-HPG
2020-01-08,PNJ-CTG-HPG
2020-01-09,PNJ-HPG-CTG
2020-01-10,PNJ-HPG-CTG
2020-01-13,PNJ-CTG-HPG
2020-01-14,PNJ-CTG-HPG
2020-01-15,PNJ-HPG-CTG
2020-01-16,PNJ-HPG-BVH
2020-01-17,PNJ-BVH-HPG
2020-01-20,PNJ-BVH-CTG
2020-01-21,PNJ-BVH-HPG
2020-01-22,PNJ-BVH-HPG
2020-01-30,PNJ-BVH-HPG
2020-01-31,PNJ-BVH-HPG
2020-02-03,PNJ-BVH-CTG
2020-02-04,PNJ-BVH-NT2
2020-02-05,PNJ-BVH-VNM
2020-02-06,PNJ-BVH-HPG
2020-02-07,PNJ-BVH-DPM
2020-02-10,PNJ-BVH-GAS
2020-02-11,PNJ-BVH-VIC
2020-02-12,PNJ-BVH-VIC
2020-02-13,PNJ-BVH-VIC
2020-02-14,PNJ-VIC-BVH
2020-02-17,PNJ-VIC-VNM
2020-02-18,VIC-PNJ-VNM
2020-02-19,VIC-PNJ-VNM
2020-02-20,VIC-PNJ-VNM
2020-02-21,VIC-PNJ-HPG
2020-02-24,VIC-PNJ-HPG
2020-02-25,VIC-BVH-HPG
2020-02-26,VIC-BVH-PNJ
2020-02-27,VIC-BVH-VNM
2020-02-28,VIC-BVH-HPG
2020-03-02,VIC-BVH-HPG
2020-03-03,VIC-BVH-HPG
2020-03-04,VIC-BVH-MSN
2020-03-05,VIC-BVH-VNM
2020-03-06,VIC-BVH-HPG
2020-03-09,VIC-BVH-VNM
2020-03-10,VIC-BVH-VNM
2020-03-11,VIC-BVH-HPG
2020-03-12,BVH-VIC-HPG
2020-03-13,BVH-STB-VIC
2020-03-16,VIC-BVH-HPG
2020-03-17,VIC-VNM-HPG
2020-03-18,VIC-VNM-HPG
2020-03-19,BVH-HPG-VIC
2020-03-20,STB-HPG-VIC
2020-03-23,HPG-VIC-VNM
2020-03-24,HPG-VIC-VNM
2020-03-25,VIC-VNM-HPG
2020-03-26,STB-HPG-VIC
2020-03-27,PNJ-HPG-VIC
2020-03-30,PNJ-STB-HPG
2020-03-31,PNJ-HPG-VIC
2020-04-01,PNJ-VIC-HPG
2020-04-03,PNJ-VIC-HPG
2020-04-06,STB-PNJ-VIC
2020-04-07,PNJ-FPT-VCB
2020-04-08,PNJ-VCB-FPT
2020-04-09,PNJ-VCB-FPT
2020-04-10,FPT-VIC-PNJ
2020-04-13,FPT-VIC-VNM
2020-04-14,FPT-VIC-VNM
2020-04-15,FPT-VNM-VIC
2020-04-16,FPT-VNM-VIC
2020-04-17,FPT-STB-VNM
2020-04-20,STB-FPT-REE
2020-04-21,STB-FPT-REE
2020-04-22,FPT-REE-HPG
2020-04-23,FPT-HPG-REE
2020-04-24,FPT-HPG-VNM
2020-04-27,FPT-REE-HPG
2020-04-28,FPT-REE-HPG
2020-04-29,FPT-REE-HPG
2020-05-04,FPT-REE-VNM
2020-05-05,FPT-VNM-REE
2020-05-06,FPT-REE-VNM
2020-05-07,FPT-REE-VNM
2020-05-08,FPT-REE-VNM
2020-05-11,FPT-REE-VNM
2020-05-12,VNM-FPT-REE
2020-05-13,VNM-REE-FPT
2020-05-14,VNM-REE-PNJ
2020-05-15,VNM-MBB-PNJ
2020-05-18,VNM-PNJ-REE
2020-05-19,VNM-PNJ-MBB
2020-05-20,VNM-MBB-PNJ
2020-05-21,VNM-MBB-PNJ
2020-05-22,VNM-PNJ-MBB
2020-05-25,VNM-MBB-PNJ
2020-05-26,VNM-PNJ-MBB
2020-05-27,VNM-MBB-PNJ
2020-05-28,VNM-MBB-PNJ
2020-05-29,VNM-BID-GAS
2020-06-01,VNM-BID-PNJ
2020-06-02,VNM-BID-SSI
2020-06-03,BID-VNM-STB
2020-06-04,GAS-BID-MSN
2020-06-05,GAS-STB-BID
2020-06-08,GAS-STB-BID
2020-06-09,GAS-STB-BID
2020-06-10,STB-HPG-GAS
2020-06-11,STB-MWG-HPG
2020-06-12,STB-MWG-HPG
2020-06-15,STB-HPG-VCB
2020-06-16,STB-VCB-MWG
2020-06-17,MWG-STB-VCB
2020-06-18,MWG-STB-BID
2020-06-19,MWG-STB-BID
2020-06-22,MWG-STB-BID
2020-06-23,MWG-STB-BID
2020-06-24,MWG-STB-BID
2020-06-25,MWG-STB-BID
2020-06-26,MWG-STB-BID
2020-06-29,MWG-STB-BID
2020-06-30,MWG-STB-BID
2020-07-01,MWG-STB-REE
2020-07-02,MWG-REE-BID
2020-07-03,MWG-REE-STB
2020-07-06,REE-MWG-BID
2020-07-07,REE-MWG-BID
2020-07-08,REE-MWG-BID
2020-07-09,REE-MWG-BID
2020-07-10,REE-MWG-CTD
2020-07-13,REE-MWG-VNM
2020-07-14,MWG-REE-VNM
2020-07-15,MWG-VNM-REE
2020-07-16,VNM-MWG-REE
2020-07-17,VNM-MWG-VCB
2020-07-20,MWG-VNM-VCB
2020-07-21,MWG-VNM-VCB
2020-07-22,MWG-VCB-VNM
2020-07-23,MWG-VCB-CTD
2020-07-24,MWG-FPT-VCB
2020-07-27,MWG-VCB-FPT
2020-07-28,MWG-FPT-CTD
2020-07-29,MWG-FPT-CTD
2020-07-30,MWG-FPT-VCB
2020-07-31,MWG-FPT-MBB
2020-08-03,MWG-FPT-MBB
2020-08-04,FPT-MWG-CTD
2020-08-05,CTD-FPT-MBB
2020-08-06,CTD-FPT-GAS
2020-08-07,FPT-GAS-MBB
2020-08-10,FPT-MBB-BID
2020-08-11,CTD-FPT-MBB
